salgsmaaned,levetid,returnert,returmaaned
1,15.380643505839066,True,17.0
1,18.20480991833105,True,20.0
1,13.925257983223485,True,15.0
1,17.115835958949532,True,19.0
1,8.788279076779542,True,10.0
1,31.325752321638767,False,
1,2.1941034915613535,True,4.0
1,28.785569216218782,False,
1,14.00054119536685,True,16.0
1,10.42200861343951,True,12.0
1,13.615955243047589,True,15.0
1,10.60314948764554,True,12.0
1,17.15628392689786,True,19.0
1,18.591324561953375,True,20.0
1,24.006866418650933,False,
1,9.08288004132427,True,11.0
1,30.300040094740396,False,
1,15.657561838136195,True,17.0
1,11.145789876960258,True,13.0
1,17.015138512896,True,19.0
1,5.547515660548551,True,7.0
1,5.012323878798324,True,7.0
1,19.728915338308095,True,21.0
1,16.011090278270526,True,18.0
1,25.73693148302768,False,
1,12.83450152492454,True,14.0
2,13.386988880175263,True,16.0
2,19.412096600761533,True,22.0
2,13.447721034434803,True,16.0
2,3.186692075839105,True,6.0
2,10.306882626079929,True,13.0
2,18.116211443010158,True,21.0
2,14.639975896104172,True,17.0
2,20.95131135277672,True,23.0
2,2.038984575371738,True,5.0
2,17.19143295902816,True,20.0
2,9.591386229407043,True,12.0
2,11.25070260078637,True,14.0
2,29.99239351176504,False,
2,21.00472116747112,True,24.0
2,33.004415226509316,False,
2,23.20223456798145,True,26.0
2,25.986262248762785,False,
2,7.481752131734927,True,10.0
2,10.453788523111978,True,13.0
2,9.387278654684787,True,12.0
2,19.167302074886127,True,22.0
2,19.726617417189576,True,22.0
2,7.050941671637979,True,10.0
2,11.64816123246721,True,14.0
2,18.545496505560557,True,21.0
2,5.328663309401216,True,8.0
2,6.268217224420393,True,9.0
2,16.90833203153635,True,19.0
2,23.947417559839018,True,26.0
2,28.25400562203373,False,
2,15.366459537074729,True,18.0
2,20.322859913141112,True,23.0
2,15.922668058063865,True,18.0
2,17.475885402090846,True,20.0
2,7.479425704541951,True,10.0
2,27.274629398366123,False,
2,17.021383832312672,True,20.0
2,16.941831500239292,True,19.0
2,3.4472203249021804,True,6.0
2,18.680325519004683,True,21.0
2,18.49782664043025,True,21.0
2,18.516402339647893,True,21.0
2,13.928401440383332,True,16.0
2,20.72517861688566,True,23.0
2,22.11965667677991,True,25.0
2,14.799244750862064,True,17.0
2,11.185949209359013,True,14.0
2,22.909121797061534,True,25.0
2,15.030519164388455,True,18.0
2,15.801026241338386,True,18.0
2,6.639293876419797,True,9.0
2,9.499328573303709,True,12.0
2,24.930831033928005,False,
2,15.579907136905288,True,18.0
2,3.3527736137852693,True,6.0
2,20.468116684059392,True,23.0
2,13.033985589258656,True,16.0
2,29.441005436822728,False,
2,16.651977175178352,True,19.0
2,17.807158339965667,True,20.0
2,12.316675145986745,True,15.0
2,2.9977062069149736,True,5.0
2,38.688288084004114,False,
2,12.762208004231969,True,15.0
2,25.05319601582561,False,
2,7.534219881667196,True,10.0
2,28.46916597085021,False,
2,2.618691372224966,True,5.0
2,16.79348240198475,True,19.0
2,6.078355963837171,True,9.0
2,8.377143244729204,True,11.0
2,22.23249226482547,True,25.0
2,28.030251828988014,False,
2,15.089335597347196,True,18.0
2,21.343186561303956,True,24.0
2,18.661778030450943,True,21.0
2,12.854947568653275,True,15.0
2,25.922080854510764,False,
2,23.739549881272367,True,26.0
2,11.043994249002369,True,14.0
2,15.551980252505352,True,18.0
2,19.168481919408357,True,22.0
2,19.163617587052315,True,22.0
2,5.794287151811227,True,8.0
2,38.37812829140796,False,
2,1.5221548129519156,True,4.0
2,21.009128816729557,True,24.0
2,20.166231730323403,True,23.0
2,10.167818411225742,True,13.0
2,15.095019786620448,True,18.0
2,11.489978952660186,True,14.0
2,2.7715029528882185,True,5.0
2,16.330630881088513,True,19.0
2,19.55103060274939,True,22.0
2,19.171130545123887,True,22.0
2,35.51510743560544,False,
2,8.011209310482727,True,11.0
2,8.475379140673882,True,11.0
2,14.097078260952145,True,17.0
2,8.907787041460246,True,11.0
2,13.744369249784427,True,16.0
2,28.709467931041782,False,
2,20.576608190339222,True,23.0
2,14.25278698315758,True,17.0
2,15.774699980088508,True,18.0
2,40.17560436693513,False,
2,13.676971634912038,True,16.0
2,19.03462578798394,True,22.0
2,23.989444239424223,True,26.0
2,19.905739220827158,True,22.0
2,19.640712760390667,True,22.0
2,22.607629232180738,True,25.0
2,9.575183980222475,True,12.0
2,14.330805398053897,True,17.0
2,20.769427233709223,True,23.0
2,15.078768843653322,True,18.0
2,25.80813749961129,False,
2,6.614402329871948,True,9.0
2,13.68933709790759,True,16.0
2,11.105756561415784,True,14.0
2,18.612100506378873,True,21.0
2,12.878336657577849,True,15.0
2,32.26650324123914,False,
2,17.149613657424872,True,20.0
2,28.166328282538224,False,
2,22.867086198628577,True,25.0
2,19.197263747640942,True,22.0
2,19.65879654001496,True,22.0
2,14.194519914558208,True,17.0
2,10.783016380843042,True,13.0
2,9.804096222151319,True,12.0
2,6.7021623069443095,True,9.0
2,26.345514459028266,False,
2,14.636984315340571,True,17.0
2,10.449086324905497,True,13.0
2,20.438945961373864,True,23.0
2,13.689135005270616,True,16.0
2,17.33597906504015,True,20.0
2,27.11048259838106,False,
2,9.195547643335425,True,12.0
2,17.004431561288122,True,20.0
2,6.293386155707214,True,9.0
2,12.01103711665161,True,15.0
2,14.596122160145159,True,17.0
2,9.989942654476742,True,12.0
2,2.3880777800978907,True,5.0
2,11.056337655796137,True,14.0
2,23.208889513789916,True,26.0
2,20.219244659667307,True,23.0
2,13.730980944350229,True,16.0
2,8.84937361224077,True,11.0
2,25.77636828382368,False,
2,20.699142961583537,True,23.0
2,33.54004036535165,False,
2,12.75959307281072,True,15.0
2,25.62971179018764,False,
2,4.7483106041573055,True,7.0
2,4.290387754859857,True,7.0
2,3.504077242452115,True,6.0
2,4.766464928838982,True,7.0
2,12.443388659336085,True,15.0
2,5.042717334173905,True,8.0
2,21.964879025151973,True,24.0
2,3.7653076188697865,True,6.0
2,13.104324166859797,True,16.0
2,8.881903396472124,True,11.0
2,16.636322251742225,True,19.0
2,3.5575342481690786,True,6.0
2,13.72285254316163,True,16.0
3,29.15237267932353,False,
3,18.955772879376756,True,22.0
3,11.466446386613356,True,15.0
3,22.283737702328082,True,26.0
3,15.350356285047503,True,19.0
3,8.074837675959873,True,12.0
3,23.134615726639012,True,27.0
3,5.531926393432125,True,9.0
3,22.343365115028156,True,26.0
3,24.656069888252066,False,
3,17.953159680917928,True,21.0
3,11.198061171642056,True,15.0
3,24.621687626305825,False,
3,6.819205998457743,True,10.0
3,12.495826779547707,True,16.0
3,20.786722718819206,True,24.0
3,17.839377333385613,True,21.0
3,16.600389779720885,True,20.0
