feature,gain,andel_pct
antall_nulldager,8313.435102763635,30.772701379777867
nulldag_andel,4043.390690089916,14.96686420593432
cv_observert,2565.412894270589,9.496036708697817
kategori_kode,2367.679761171341,8.764115116415432
arsvolum,2172.6827359917693,8.042321399182804
holdbarhet_dager,1416.2218727897516,5.2422340753440375
uke_gj,809.0669538347465,2.994812067315786
log_arsvolum,701.4273286958211,2.5963772446357773
uke_cv,587.5479982676309,2.1748457615270937
cv_target,401.95362687936415,1.4878565569562738
