sku_id,salg_total,salg_gj_daglig,salg_std_daglig,salg_max,antall_nulldager,antall_dager,cv_observert,nulldag_andel
S00001,5999,8.217808219178082,4.581583054227608,45,3,730,0.557518858074038,0.00410958904109589
S00002,249,0.3410958904109589,0.8265710180358898,10,577,730,2.4232804946433717,0.7904109589041096
S00003,323,0.44246575342465755,0.9979976947309995,13,524,730,2.2555365856149523,0.7178082191780822
S00004,13633,18.675342465753424,8.8620007033919,114,0,730,0.4745294882620177,0.0
S00005,19259,26.382191780821916,12.008362911987444,158,0,730,0.45516926765412713,0.0
S00006,10953,15.004109589041096,9.035290334477523,85,2,730,0.6021877060320087,0.0027397260273972603
S00007,375,0.5136986301369864,0.8767402945959635,5,484,730,1.7067211068134753,0.663013698630137
S00008,6724,9.210958904109589,5.093570590100176,51,0,730,0.5529902633511494,0.0
S00009,3967,5.434246575342466,3.2972000083739927,43,12,730,0.6067446448482517,0.01643835616438356
S00010,15024,20.58082191780822,9.51093021539994,123,0,730,0.46212586909224945,0.0
S00011,5352,7.331506849315068,4.261959746559946,41,1,730,0.5813211164029822,0.0013698630136986301
S00012,8583,11.757534246575343,7.465887999672522,100,1,730,0.6349875614308448,0.0013698630136986301
S00013,15496,21.22739726027397,11.614536800739844,124,0,730,0.5471484166584981,0.0
S00014,1770,2.4246575342465753,3.13840675077511,34,165,730,1.294371145799904,0.22602739726027396
S00015,25470,34.89041095890411,43.64835215585365,547,3,730,1.2510128415301596,0.00410958904109589
S00016,3889,5.3273972602739725,6.259451241280487,64,91,730,1.1749548485818346,0.12465753424657534
S00017,2758,3.778082191780822,4.799984184225844,43,127,730,1.2704816731272175,0.17397260273972603
S00018,205,0.2808219178082192,0.7457529561943322,6,599,730,2.6556080879115243,0.8205479452054795
S00019,2564,3.5123287671232877,5.3858511281520896,81,148,730,1.5334131527110084,0.20273972602739726
S00020,2712,3.7150684931506848,2.644126510241325,26,24,730,0.7117302184646636,0.03287671232876712
S00021,923,1.2643835616438357,1.7653788195976918,14,311,730,1.396236769562638,0.426027397260274
S00022,26485,36.28082191780822,44.280460310438514,540,4,730,1.220492204138951,0.005479452054794521
S00023,375,0.5136986301369864,0.9195059012683154,6,497,730,1.7899714878023205,0.6808219178082192
S00024,24105,33.02054794520548,16.54286081273249,164,0,730,0.5009868655173083,0.0
S00025,423,0.5794520547945206,1.1781572768644655,15,477,730,2.0332265061727184,0.6534246575342466
S00026,8410,11.520547945205479,5.6337937548740635,46,0,730,0.48902133662997227,0.0
S00027,8321,11.398630136986302,13.605907225422342,127,24,730,1.1936440661649212,0.03287671232876712
S00028,8330,11.41095890410959,7.454177562923911,81,0,730,0.6532472534135,0.0
S00029,395,0.541095890410959,0.9524116550179811,7,479,730,1.760153185223104,0.6561643835616439
S00030,7606,10.419178082191781,4.911805367783492,54,0,730,0.4714196579650209,0.0
S00031,399,0.5465753424657535,0.928822460821161,6,470,730,1.699349364409643,0.6438356164383562
S00032,1661,2.2753424657534245,2.6665782301136924,27,156,730,1.1719458807844645,0.2136986301369863
S00033,406,0.5561643835616439,1.0117263494330553,9,480,730,1.8191138795224884,0.6575342465753424
S00034,9384,12.854794520547944,5.964757979098187,81,0,730,0.4640103713492835,0.0
S00035,12240,16.767123287671232,10.10347092697155,126,0,730,0.6025762889451987,0.0
S00036,380,0.5205479452054794,0.8766063294433767,5,476,730,1.6840068960359607,0.6520547945205479
S00037,1080,1.4794520547945205,1.7677928628846007,12,245,730,1.1948970276905173,0.3356164383561644
S00038,1059,1.4506849315068493,2.0023047959618308,19,279,730,1.3802478763476265,0.3821917808219178
S00039,191,0.26164383561643834,0.7935145446093159,9,610,730,3.0328042804439828,0.8356164383561644
S00040,372,0.5095890410958904,0.9474772486870597,9,492,730,1.8592967514557892,0.673972602739726
S00041,15100,20.684931506849313,28.23829459343058,443,5,730,1.3651625863049222,0.00684931506849315
S00042,269,0.3684931506849315,0.8197454709403607,6,563,730,2.22458808099057,0.7712328767123288
S00043,2746,3.7616438356164386,3.211033368147124,30,47,730,0.8536250396021123,0.06438356164383562
S00044,9553,13.086301369863014,9.103245853364719,116,0,730,0.6956316835503239,0.0
S00045,5852,8.016438356164384,5.222590312707297,60,0,730,0.651485121031498,0.0
S00046,365,0.5,0.9060836905722279,8,494,730,1.8121673811444559,0.6767123287671233
S00047,10873,14.894520547945206,7.7114346965044325,102,0,730,0.517736349530786,0.0
S00048,1099,1.5054794520547945,1.7413230240431563,17,251,730,1.1566567857611503,0.34383561643835614
S00049,10888,14.915068493150685,5.587652250906289,61,0,730,0.374631350400587,0.0
S00050,687,0.9410958904109589,1.3560144554585112,12,352,730,1.440888722685172,0.4821917808219178
S00051,5001,6.85068493150685,10.182742108175512,102,49,730,1.4863830711793888,0.06712328767123288
S00052,421,0.5767123287671233,0.98563350255392,9,464,730,1.709055717017486,0.6356164383561644
