uke,D_t
1,101.21151756934064
2,103.88688433041793
3,102.17535959361426
4,100.19427252665132
5,103.40729354145294
6,101.67299380742564
7,107.7858254946982
8,114.93091488670923
9,106.39352766377544
10,106.24778792775446
11,112.1586284251865
12,111.71152378178084
13,110.52707124498949
14,105.27474851743952
15,109.56315906194415
16,112.82667839914559
17,102.13348752010668
18,105.94175985373546
19,97.9789937827068
20,100.18353788348307
21,96.4719722783529
22,103.47177606506428
23,97.20881646320683
24,103.74947843698409
25,101.98912223567436
26,99.06534527685022
27,86.21083464334421
28,94.91337887789125
29,96.2114464025693
30,95.91931320957886
31,86.66867370516147
32,90.9800070374224
33,87.62229712800578
34,87.72597514393544
35,96.44993286039829
36,86.61216419648636
37,90.12797330101188
38,94.49486059593534
39,87.08199783628349
40,89.51440151109867
41,90.84290254198689
42,90.96874644442116
43,85.02016061137944
44,92.15086249294846
45,99.30900962699667
46,85.63305002694963
47,138.61626597279644
48,135.94953840804524
49,133.24659915903854
50,147.60892608883654
51,142.6059317578703
52,134.00355548947388
53,101.57794794641055
54,105.27660456122649
55,102.6021382436716
56,108.0617830564137
57,105.34806086656448
58,109.96746438657959
59,114.67772043999177
60,104.85152740390829
61,109.87025330848014
62,107.03362454416208
63,110.34576023038967
64,103.99111610172983
65,107.10349201748663
66,108.94610887695805
67,114.20323753476256
68,115.07627246412481
69,102.23692129411083
70,104.25662682900132
71,110.71962459457812
72,96.66912766153548
73,103.36479814254974
74,104.16079709208724
75,109.83112375685947
76,105.84017614572936
77,99.56929970144223
78,98.1571205295002
79,97.54365619485714
80,105.22449035940522
81,94.31382641671031
82,93.83436633773869
83,96.08229786911477
84,92.76492119215978
85,91.52847137846038
86,86.19982562530816
87,91.08783240327516
88,88.43193145827377
89,96.1212207066906
90,93.33835377252528
91,89.87928193495034
92,93.41481637535618
93,88.59123406717373
94,95.91046936528058
95,91.11844194010978
96,94.68707311196552
97,86.06042629167155
98,95.10217366198418
99,125.87833194585573
100,125.17612355486267
101,134.93156674101746
102,133.10720531913142
103,139.61489717600787
104,151.22378313243024
