0.00,3.21,6.28,1.06,7.88,3.21,2.30,2.61,5.28,6.85,4.00,0.89,2.92,4.39,0.29,7.14,3.53,5.38,7.62,3.88,8.94,12.68,3.27,4.98,1.15,1.31,2.57,1.47,2.53,4.15,7.86,4.11,0.18,1.18,5.82,2.14,1.90,4.63,4.41,2.57,4.32
3.21,0.00,6.22,3.14,5.07,2.02,5.46,5.21,2.78,7.48,7.18,2.50,1.09,1.64,3.50,3.94,0.71,6.37,10.77,6.26,11.52,9.55,0.77,3.25,2.51,1.94,3.57,4.27,5.71,7.36,11.01,6.54,3.39,2.82,8.07,2.50,4.99,7.37,7.10,1.66,1.97
6.28,6.22,0.00,7.23,10.65,4.21,7.75,5.14,8.89,12.98,8.81,5.66,7.10,7.76,6.38,8.39,6.92,11.58,12.05,10.05,8.34,13.71,6.96,9.47,5.32,6.31,3.71,7.67,7.82,8.46,10.28,4.98,6.37,7.16,11.96,4.39,7.67,6.07,5.80,7.37,8.18
1.06,3.14,7.23,0.00,7.29,3.76,2.50,3.61,4.67,5.81,4.20,1.58,2.50,3.94,1.16,6.91,3.24,4.37,7.69,3.25,9.84,12.26,2.94,4.18,1.92,1.29,3.54,1.16,2.76,4.51,8.40,5.11,1.08,0.33,5.16,2.92,1.98,5.53,5.33,1.97,3.74
7.88,5.07,10.65,7.29,0.00,6.83,9.78,10.21,2.62,8.00,11.44,7.39,4.96,3.53,8.14,2.68,4.49,7.81,14.71,9.41,16.58,5.19,4.68,3.43,7.49,6.60,8.63,8.37,10.04,11.80,15.68,11.60,8.02,6.98,10.65,7.57,9.25,12.37,12.11,5.35,3.57
3.21,2.02,4.21,3.76,6.83,0.00,5.43,4.14,4.76,9.08,7.02,2.33,2.91,3.62,3.46,5.10,2.73,7.81,10.66,6.99,10.06,10.80,2.75,5.26,2.07,2.53,2.01,4.65,5.62,7.01,10.23,5.20,3.38,3.56,8.92,1.26,5.09,6.20,5.90,3.26,3.99
2.30,5.46,7.75,2.50,9.78,5.43,0.00,2.80,7.16,6.68,1.72,3.17,4.98,6.44,2.02,9.35,5.68,5.16,5.32,2.60,7.97,14.76,5.40,6.56,3.37,3.52,4.23,1.42,0.26,2.02,5.96,3.94,2.12,2.83,4.33,4.24,0.53,3.86,3.78,4.47,6.24
2.61,5.21,5.14,3.61,10.21,4.14,2.80,0.00,7.69,9.12,3.67,2.83,5.30,6.68,2.45,9.03,5.73,7.59,7.03,5.35,6.40,14.73,5.53,7.55,2.72,3.69,2.24,3.32,2.81,3.36,6.10,1.50,2.54,3.78,7.13,2.94,2.91,2.17,1.90,5.08,6.73
5.28,2.78,8.89,4.67,2.62,4.76,7.16,7.69,0.00,6.40,8.83,4.86,2.40,1.15,5.54,3.07,2.09,5.81,12.16,6.95,14.09,7.68,2.21,1.26,5.00,4.02,6.31,5.76,7.42,9.18,13.06,9.12,5.42,4.36,8.37,5.24,6.63,9.83,9.59,2.73,0.97
6.85,7.48,12.98,5.81,8.00,9.08,6.68,9.12,6.40,0.00,7.42,7.33,6.39,6.80,6.86,9.47,6.99,1.53,9.13,4.32,14.57,12.94,6.77,5.14,7.67,6.68,9.35,5.79,6.83,8.08,11.70,10.50,6.82,5.83,4.00,8.59,6.34,10.53,10.45,5.88,6.22
4.00,7.18,8.81,4.20,11.44,7.02,1.72,3.67,8.83,7.42,0.00,4.84,6.70,8.14,3.71,11.07,7.40,5.98,3.64,3.09,7.24,16.46,7.12,8.15,5.00,5.24,5.59,3.08,1.48,0.69,4.49,4.28,3.82,4.53,4.19,5.79,2.23,3.73,3.79,6.17,7.93
0.89,2.50,5.66,1.58,7.39,2.33,3.17,2.83,4.86,7.33,4.84,0.00,2.46,3.86,1.15,6.43,2.93,5.92,8.48,4.70,9.23,12.04,2.71,4.77,0.34,0.89,2.02,2.32,3.39,4.94,8.52,4.28,1.06,1.50,6.64,1.34,2.78,4.98,4.73,2.29,3.90
2.92,1.09,7.10,2.50,4.96,2.91,4.98,5.30,2.40,6.39,6.70,2.46,0.00,1.47,3.20,4.42,0.78,5.29,10.19,5.39,11.69,9.79,0.48,2.45,2.62,1.64,4.06,3.65,5.24,6.97,10.77,6.73,3.08,2.17,7.13,3.00,4.47,7.43,7.19,0.64,1.44
4.39,1.64,7.76,3.94,3.53,3.62,6.44,6.68,1.15,6.80,8.14,3.86,1.47,0.00,4.66,3.09,0.98,5.97,11.60,6.61,13.05,8.32,1.15,1.90,3.96,3.09,5.20,5.08,6.69,8.43,12.24,8.08,4.54,3.61,8.22,4.12,5.92,8.84,8.58,1.98,0.59
0.29,3.50,6.38,1.16,8.14,3.46,2.02,2.45,5.54,6.86,3.71,1.15,3.20,4.66,0.00,7.43,3.81,5.37,7.34,3.72,8.73,12.96,3.55,5.20,1.38,1.60,2.67,1.30,2.25,3.86,7.58,3.95,0.12,1.34,5.66,2.34,1.63,4.42,4.21,2.82,4.58
7.14,3.94,8.39,6.91,2.68,5.10,9.35,9.03,3.07,9.47,11.07,6.43,4.42,3.09,7.43,0.00,3.67,8.87,14.60,9.70,15.16,5.71,3.97,4.33,6.40,5.84,7.09,8.06,9.60,11.29,14.94,10.25,7.31,6.58,11.29,6.13,8.85,11.18,10.89,5.01,3.54
3.53,0.71,6.92,3.24,4.49,2.73,5.68,5.73,2.09,6.99,7.40,2.93,0.78,0.98,3.81,3.67,0.00,5.97,10.93,6.17,12.09,9.15,0.30,2.56,3.01,2.22,4.22,4.39,5.93,7.64,11.39,7.11,3.69,2.90,7.90,3.15,5.18,7.89,7.63,1.42,1.26
5.38,6.37,11.58,4.37,7.81,7.81,5.16,7.59,5.81,1.53,5.98,5.92,5.29,5.97,5.37,8.87,5.97,0.00,8.03,2.90,13.08,12.93,5.72,4.59,6.26,5.33,7.91,4.27,5.32,6.63,10.35,8.97,5.34,4.42,3.09,7.21,4.81,9.01,8.92,4.72,5.42
7.62,10.77,12.05,7.69,14.71,10.66,5.32,7.03,12.16,9.13,3.64,8.48,10.19,11.60,7.34,14.60,10.93,8.03,0.00,5.44,7.88,19.83,10.64,11.31,8.64,8.83,9.13,6.54,5.09,3.70,3.64,7.14,7.44,8.03,5.14,9.42,5.78,6.18,6.39,9.62,11.31
3.88,6.26,10.05,3.25,9.41,6.99,2.60,5.35,6.95,4.32,3.09,4.70,5.39,6.61,3.72,9.70,6.17,2.90,5.44,0.00,10.27,14.58,5.87,5.98,5.01,4.54,6.36,2.41,2.68,3.76,7.46,6.54,3.75,3.51,1.95,6.02,2.46,6.38,6.33,4.75,6.21
8.94,11.52,8.34,9.84,16.58,10.06,7.97,6.40,14.09,14.57,7.24,9.23,11.69,13.05,8.73,15.16,12.09,13.08,7.88,10.27,0.00,20.87,11.91,13.92,9.10,10.09,8.07,9.18,7.78,6.55,4.33,4.98,8.84,10.07,11.37,9.07,8.40,4.32,4.53,11.47,13.13
12.68,9.55,13.71,12.26,5.19,10.80,14.76,14.73,7.68,12.94,16.46,12.04,9.79,8.32,12.96,5.71,9.15,12.93,19.83,14.58,20.87,0.00,9.41,8.61,12.06,11.36,12.80,13.39,15.02,16.76,20.53,15.96,12.84,11.93,15.83,11.84,14.24,16.88,16.60,10.29,8.54
3.27,0.77,6.96,2.94,4.68,2.75,5.40,5.53,2.21,6.77,7.12,2.71,0.48,1.15,3.55,3.97,0.30,5.72,10.64,5.87,11.91,9.41,0.00,2.51,2.82,1.96,4.12,4.10,5.65,7.37,11.13,6.94,3.43,2.61,7.60,3.05,4.89,7.69,7.43,1.12,1.30
4.98,3.25,9.47,4.18,3.43,5.26,6.56,7.55,1.26,5.14,8.15,4.77,2.45,1.90,5.20,4.33,2.56,4.59,11.31,5.98,13.92,8.61,2.51,0.00,4.99,3.88,6.51,5.14,6.82,8.58,12.52,9.02,5.10,3.90,7.26,5.46,6.03,9.61,9.39,2.48,1.36
1.15,2.51,5.32,1.92,7.49,2.07,3.37,2.72,5.00,7.67,5.00,0.34,2.62,3.96,1.38,6.40,3.01,6.26,8.64,5.01,9.10,12.06,2.82,4.99,0.00,1.15,1.70,2.62,3.57,5.06,8.54,4.12,1.31,1.84,6.95,1.01,3.01,4.88,4.62,2.52,4.05
1.31,1.94,6.31,1.29,6.60,2.53,3.52,3.69,4.02,6.68,5.24,0.89,1.64,3.09,1.60,5.84,2.22,5.33,8.83,4.54,10.09,11.36,1.96,3.88,1.15,0.00,2.82,2.36,3.77,5.44,9.17,5.15,1.48,1.04,6.44,1.93,3.05,5.81,5.57,1.40,3.06
