0.00,4.41,8.82,7.94,1.79,1.73,10.97,1.13,8.74,6.19,9.89,1.58,2.47,1.26,1.82,8.38
4.41,0.00,9.60,7.56,3.90,6.04,11.55,4.35,10.47,8.00,8.51,3.96,6.60,5.29,4.56,8.32
8.82,9.60,0.00,2.68,7.23,9.73,2.15,9.92,2.17,2.95,17.86,10.22,7.88,9.88,7.01,16.95
7.94,7.56,2.68,0.00,6.16,9.23,4.14,8.92,4.60,3.79,16.04,9.08,7.77,9.15,6.19,15.47
1.79,3.90,7.23,6.16,0.00,3.32,9.37,2.76,7.42,4.83,10.92,3.00,2.89,3.04,0.67,9.75
1.73,6.04,9.73,9.23,3.32,0.00,11.86,1.85,9.28,6.89,10.27,2.42,2.11,0.86,3.07,8.35
10.97,11.55,2.15,4.14,9.37,11.86,0.00,12.07,3.29,5.01,19.91,12.36,9.96,12.03,9.16,19.07
1.13,4.35,9.92,8.92,2.76,1.85,12.07,0.00,9.86,7.32,8.85,0.59,3.35,1.00,2.91,7.26
8.74,10.47,2.17,4.60,7.42,9.28,3.29,9.86,0.00,2.59,18.33,10.27,7.23,9.61,7.02,17.10
6.19,8.00,2.95,3.79,4.83,6.89,5.01,7.32,2.59,0.00,15.75,7.70,4.96,7.14,4.45,14.53
9.89,8.51,17.86,16.04,10.92,10.27,19.91,8.85,18.33,15.75,0.00,8.32,12.17,9.53,11.38,2.81
1.58,3.96,10.22,9.08,3.00,2.42,12.36,0.59,10.27,7.70,8.32,0.00,3.92,1.56,3.26,6.83
2.47,6.60,7.88,7.77,2.89,2.11,9.96,3.35,7.23,4.96,12.17,3.92,0.00,2.67,2.30,10.39
1.26,5.29,9.88,9.15,3.04,0.86,12.03,1.00,9.61,7.14,9.53,1.56,2.67,0.00,2.97,7.72
1.82,4.56,7.01,6.19,0.67,3.07,9.16,2.91,7.02,4.45,11.38,3.26,2.30,2.97,0.00,10.08
8.38,8.32,16.95,15.47,9.75,8.35,19.07,7.26,17.10,14.53,2.81,6.83,10.39,7.72,10.08,0.00
